TransactionID,variable,item
12,Item 1,meat
8,Item 1,sausage
9,Item 1,frankfurter
6,Item 1,root vegetables
16,Item 1,citrus fruit
8,Item 1,other vegetables
11,Item 1,frankfurter
4,Item 1,hard cheese
4,Item 1,cream cheese
5,Item 1,turkey
6,Item 1,pork
1,Item 1,ice cream
1,Item 1,liquor
3,Item 1,pip fruit
3,Item 1,root vegetables
11,Item 1,sausage
1,Item 1,pork
2,Item 1,pickled vegetables
7,Item 1,frankfurter
12,Item 1,tropical fruit
1,Item 1,root vegetables
6,Item 1,meat
11,Item 1,citrus fruit
11,Item 1,hamburger meat
11,Item 1,chicken
7,Item 1,chicken
4,Item 1,turkey
10,Item 1,packaged fruit/vegetables
1,Item 1,pasta
1,Item 1,liquor (appetizer)
1,Item 1,sausage
9,Item 1,chicken
9,Item 1,hamburger meat
2,Item 1,uht-milk
1,Item 1,candy
4,Item 1,beef
13,Item 1,frankfurter
5,Item 1,onions
1,Item 1,hair spray
5,Item 1,chicken
3,Item 1,meat
1,Item 1,photo/film
3,Item 1,domestic eggs
1,Item 1,chicken
11,Item 1,berries
2,Item 1,margarine
9,Item 1,ham
5,Item 1,yogurt
8,Item 1,citrus fruit
1,Item 1,shopping bags
3,Item 1,salt
1,Item 1,oil
1,Item 1,citrus fruit
4,Item 1,tropical fruit
5,Item 1,berries
3,Item 1,whipped/sour cream
1,Item 1,frozen vegetables
10,Item 1,berries
5,Item 1,rolls/buns
7,Item 1,root vegetables
2,Item 1,bottled beer
11,Item 1,onions
3,Item 1,hard cheese
1,Item 1,hamburger meat
4,Item 1,onions
6,Item 1,yogurt
1,Item 1,sliced cheese
2,Item 1,yogurt
4,Item 1,domestic eggs
4,Item 1,dish cleaner
10,Item 1,whole milk
4,Item 1,baking powder
7,Item 1,pork
6,Item 1,specialty cheese
6,Item 1,chicken
1,Item 1,pastry
4,Item 1,berries
1,Item 1,salty snack
3,Item 1,bottled water
6,Item 1,onions
4,Item 1,dessert
11,Item 1,beef
6,Item 1,soda
4,Item 1,pork
7,Item 1,berries
1,Item 1,instant food products
2,Item 1,beef
5,Item 1,hamburger meat
14,Item 1,ham
3,Item 1,beverages
4,Item 1,brown bread
2,Item 1,pet care
2,Item 1,white wine
3,Item 1,sugar
2,Item 1,white bread
3,Item 1,brown bread
1,Item 1,domestic eggs
4,Item 1,coffee
17,Item 1,pork
3,Item 1,yogurt
1,Item 1,female sanitary products
4,Item 1,white bread
3,Item 1,coffee
9,Item 1,tropical fruit
1,Item 1,frankfurter
5,Item 1,pip fruit
2,Item 1,root vegetables
2,Item 1,onions
2,Item 1,hamburger meat
4,Item 1,rolls/buns
3,Item 1,butter
8,Item 1,beef
2,Item 1,fruit/vegetable juice
6,Item 1,frozen vegetables
8,Item 1,hamburger meat
2,Item 1,frozen vegetables
5,Item 1,grapes
2,Item 1,cling film/bags
13,Item 1,pork
1,Item 1,soap
1,Item 1,frozen chicken
9,Item 1,beef
8,Item 1,meat
7,Item 1,meat
5,Item 1,bottled water
6,Item 1,pip fruit
10,Item 1,citrus fruit
11,Item 1,meat
5,Item 1,ham
10,Item 1,beef
12,Item 1,citrus fruit
7,Item 1,tropical fruit
9,Item 1,other vegetables
10,Item 1,hamburger meat
1,Item 1,margarine
2,Item 1,meat
3,Item 1,cream cheese
4,Item 1,curd
3,Item 1,chicken
8,Item 1,root vegetables
1,Item 1,house keeping products
1,Item 1,tropical fruit
5,Item 1,uht-milk
2,Item 1,whipped/sour cream
5,Item 1,domestic eggs
4,Item 1,spread cheese
6,Item 1,whole milk
4,Item 1,chicken
3,Item 1,dessert
1,Item 1,decalcifier
14,Item 1,frankfurter
2,Item 1,frozen dessert
2,Item 1,vinegar
9,Item 1,finished products
3,Item 1,onions
1,Item 1,curd
3,Item 1,canned beer
17,Item 1,ham
8,Item 1,packaged fruit/vegetables
13,Item 1,citrus fruit
13,Item 1,root vegetables
8,Item 1,berries
8,Item 1,pip fruit
6,Item 1,citrus fruit
9,Item 1,meat
6,Item 1,turkey
7,Item 1,nuts/prunes
10,Item 1,fish
13,Item 1,chicken
1,Item 1,whipped/sour cream
12,Item 1,chicken
15,Item 1,chicken
14,Item 1,beef
1,Item 1,sugar
12,Item 1,frankfurter
4,Item 1,bottled water
2,Item 1,ice cream
2,Item 1,sugar
2,Item 1,pork
1,Item 1,white bread
2,Item 1,potato products
3,Item 1,fish
3,Item 1,pastry
14,Item 1,tropical fruit
3,Item 1,sliced cheese
3,Item 1,soda
15,Item 1,ham
6,Item 1,beverages
6,Item 1,berries
2,Item 1,frozen fish
2,Item 1,specialty chocolate
2,Item 1,sparkling wine
19,Item 1,tropical fruit
8,Item 1,chicken
1,Item 1,hygiene articles
6,Item 1,curd
8,Item 1,onions
5,Item 1,finished products
10,Item 1,tropical fruit
5,Item 1,butter
3,Item 1,bottled beer
1,Item 1,grapes
17,Item 1,sausage
20,Item 1,frankfurter
3,Item 1,artif. sweetener
9,Item 1,packaged fruit/vegetables
16,Item 1,pork
1,Item 1,light bulbs
23,Item 1,chicken
10,Item 1,pork
5,Item 1,whipped/sour cream
18,Item 1,beef
12,Item 1,turkey
13,Item 1,beef
4,Item 1,grapes
1,Item 1,brown bread
1,Item 1,onions
4,Item 1,canned beer
13,Item 1,yogurt
5,Item 1,meat
15,Item 1,sausage
1,Item 1,canned vegetables
10,Item 1,grapes
3,Item 1,frozen fish
14,Item 1,pork
13,Item 1,sausage
1,Item 1,chewing gum
1,Item 1,canned fish
6,Item 1,bottled water
1,Item 1,specialty cheese
21,Item 1,chicken
18,Item 1,chicken
26,Item 1,sausage
4,Item 1,uht-milk
8,Item 1,uht-milk
1,Item 1,cookware
11,Item 1,ham
2,Item 1,popcorn
7,Item 1,yogurt
16,Item 1,meat
1,Item 1,semi-finished bread
3,Item 1,cat food
17,Item 1,citrus fruit
5,Item 1,brown bread
5,Item 1,ice cream
1,Item 1,dessert
6,Item 1,dessert
15,Item 1,beef
9,Item 1,pip fruit
1,Item 1,bathroom cleaner
9,Item 1,grapes
3,Item 1,grapes
3,Item 1,prosecco
15,Item 1,citrus fruit
2,Item 1,brown bread
16,Item 1,chicken
32,Item 1,frankfurter
5,Item 1,condensed milk
8,Item 1,finished products
19,Item 1,pork
1,Item 1,cling film/bags
2,Item 1,frozen potato products
3,Item 1,frozen potato products
18,Item 1,sausage
17,Item 1,turkey
3,Item 1,oil
8,Item 1,dessert
5,Item 1,liver loaf
4,Item 1,whipped/sour cream
5,Item 1,soda
2,Item 1,cream cheese
1,Item 1,frozen fish
9,Item 1,herbs
7,Item 1,onions
3,Item 1,chewing gum
4,Item 1,beverages
9,Item 1,whole milk
14,Item 1,citrus fruit
2,Item 1,cat food
14,Item 1,root vegetables
17,Item 1,frankfurter
19,Item 1,ham
4,Item 1,zwieback
12,Item 1,ham
7,Item 1,ham
3,Item 1,frozen meals
3,Item 1,canned fruit
1,Item 1,herbs
4,Item 1,dog food
11,Item 1,packaged fruit/vegetables
10,Item 1,finished products
2,Item 1,frozen fruits
1,Item 1,pip fruit
7,Item 1,pip fruit
4,Item 1,ice cream
15,Item 1,tropical fruit
9,Item 1,liver loaf
11,Item 1,root vegetables
6,Item 1,herbs
1,Item 1,brandy
5,Item 1,pastry
1,Item 1,uht-milk
7,Item 1,cream cheese
1,Item 1,butter milk
5,Item 1,coffee
4,Item 1,fish
1,Item 1,baby cosmetics
1,Item 1,spices
2,Item 1,napkins
15,Item 1,turkey
1,Item 1,waffles
3,Item 1,condensed milk
7,Item 1,liver loaf
2,Item 1,pip fruit
3,Item 1,processed cheese
1,Item 1,napkins
3,Item 1,herbs
2,Item 1,sauces
10,Item 1,ham
5,Item 1,dessert
4,Item 1,hamburger meat
1,Item 1,rum
9,Item 1,curd
5,Item 1,sliced cheese
15,Item 1,hamburger meat
3,Item 1,nuts/prunes
2,Item 1,ham
2,Item 1,chocolate
5,Item 1,frozen meals
1,Item 1,chocolate marshmallow
2,Item 1,butter
1,Item 1,long life bakery product
1,Item 1,bags
2,Item 1,spread cheese
10,Item 1,pip fruit
3,Item 1,frozen vegetables
17,Item 1,meat
2,Item 1,canned beer
11,Item 1,pork
3,Item 1,sauces
12,Item 1,pork
11,Item 1,other vegetables
21,Item 1,sausage
16,Item 1,liver loaf
1,Item 1,butter
19,Item 1,sausage
4,Item 1,sweet spreads
7,Item 1,butter
2,Item 1,hard cheese
3,Item 1,soups
3,Item 1,white bread
3,Item 1,berries
16,Item 1,sausage
11,Item 1,whole milk
3,Item 1,mustard
1,Item 1,flour
15,Item 1,onions
7,Item 1,finished products
7,Item 1,uht-milk
10,Item 1,condensed milk
4,Item 1,flour
2,Item 1,sweet spreads
3,Item 1,liver loaf
1,Item 1,cream cheese
22,Item 1,citrus fruit
6,Item 1,pasta
1,Item 1,ham
2,Item 1,domestic eggs
3,Item 1,sweet spreads
7,Item 1,whipped/sour cream
4,Item 1,cat food
2,Item 1,oil
2,Item 1,dish cleaner
3,Item 1,detergent
3,Item 1,specialty fat
1,Item 1,instant coffee
16,Item 1,frankfurter
5,Item 1,oil
7,Item 1,packaged fruit/vegetables
7,Item 1,white bread
2,Item 1,snack products
1,Item 1,mustard
12,Item 1,root vegetables
22,Item 1,liver loaf
6,Item 1,butter milk
2,Item 1,condensed milk
5,Item 1,beverages
13,Item 1,pip fruit
6,Item 1,uht-milk
11,Item 1,organic sausage
8,Item 1,soft cheese
2,Item 1,finished products
19,Item 1,frankfurter
6,Item 1,liver loaf
3,Item 1,butter milk
2,Item 1,mayonnaise
4,Item 1,specialty cheese
16,Item 1,beef
2,Item 1,dental care
19,Item 1,finished products
2,Item 1,organic sausage
6,Item 1,whipped/sour cream
6,Item 1,rolls/buns
2,Item 1,photo/film
1,Item 1,frozen meals
2,Item 1,long life bakery product
7,Item 1,brown bread
16,Item 1,ham
1,Item 1,cat food
16,Item 1,tropical fruit
5,Item 1,margarine
14,Item 1,sausage
2,Item 1,roll products
1,Item 1,soft cheese
29,Item 1,meat
7,Item 1,frozen potato products
1,Item 1,kitchen towels
1,Item 1,meat
3,Item 1,uht-milk
12,Item 1,hamburger meat
29,Item 1,beef
2,Item 1,salty snack
2,Item 1,specialty cheese
1,Item 1,flower soil/fertilizer
4,Item 1,pasta
12,Item 1,pip fruit
1,Item 1,turkey
1,Item 1,baking powder
12,Item 1,finished products
3,Item 1,zwieback
3,Item 1,cereals
2,Item 1,meat spreads
9,Item 1,yogurt
3,Item 1,mayonnaise
2,Item 1,dog food
12,Item 1,beef
1,Item 1,dishes
2,Item 1,frozen chicken
7,Item 1,turkey
14,Item 1,chicken
6,Item 1,pickled vegetables
1,Item 1,pet care
8,Item 1,organic sausage
8,Item 1,rolls/buns
4,Item 1,pet care
3,Item 1,misc. beverages
1,Item 1,male cosmetics
13,Item 1,organic sausage
7,Item 1,organic sausage
2,Item 1,liquor
5,Item 1,processed cheese
4,Item 1,pastry
4,Item 1,frozen chicken
1,Item 1,candles
2,Item 1,whisky
16,Item 1,other vegetables
3,Item 1,tidbits
1,Item 1,potato products
2,Item 1,waffles
7,Item 1,dessert
1,Item 1,hard cheese
5,Item 1,sugar
2,Item 1,newspapers
1,Item 1,nuts/prunes
15,Item 1,other vegetables
2,Item 1,cereals
9,Item 1,dessert
17,Item 1,pip fruit
1,Item 1,cooking chocolate
4,Item 1,tidbits
4,Item 1,bottled beer
1,Item 1,seasonal products
3,Item 1,instant food products
7,Item 1,cat food
2,Item 1,fish
14,Item 1,other vegetables
1,Item 1,frozen dessert
18,Item 1,ham
4,Item 1,liver loaf
5,Item 1,herbs
11,Item 1,grapes
9,Item 1,whipped/sour cream
1,Item 1,liqueur
2,Item 1,semi-finished bread
1,Item 1,finished products
5,Item 1,pet care
3,Item 1,popcorn
15,Item 1,pork
2,Item 1,brandy
3,Item 1,baking powder
14,Item 1,meat
10,Item 1,meat
2,Item 1,nuts/prunes
13,Item 1,finished products
2,Item 1,abrasive cleaner
14,Item 1,finished products
3,Item 1,soft cheese
2,Item 1,sliced cheese
10,Item 1,curd
21,Item 1,frankfurter
13,Item 1,ham
1,Item 1,dish cleaner
12,Item 1,other vegetables
2,Item 1,seasonal products
22,Item 1,frankfurter
5,Item 1,canned beer
7,Item 1,pastry
2,Item 1,baking powder
3,Item 1,curd cheese
12,Item 1,herbs
13,Item 1,liver loaf
1,Item 1,syrup
2,Item 1,hygiene articles
13,Item 1,onions
4,Item 1,canned vegetables
4,Item 1,pickled vegetables
4,Item 1,potato products
8,Item 1,turkey
19,Item 1,turkey
20,Item 1,beef
9,Item 1,turkey
27,Item 1,frankfurter
1,Item 1,ketchup
6,Item 1,soft cheese
1,Item 1,cream
1,Item 1,pickled vegetables
2,Item 1,salt
13,Item 1,fish
6,Item 1,roll products
6,Item 1,nuts/prunes
16,Item 1,finished products
8,Item 1,butter
9,Item 1,butter
17,Item 1,organic sausage
6,Item 1,cream cheese
1,Item 1,soups
2,Item 1,skin care
14,Item 1,hamburger meat
3,Item 1,spread cheese
10,Item 1,other vegetables
2,Item 1,instant coffee
5,Item 1,cream cheese
14,Item 1,whole milk
3,Item 1,waffles
3,Item 1,pasta
3,Item 1,semi-finished bread
2,Item 1,specialty bar
3,Item 1,margarine
7,Item 1,butter milk
9,Item 1,oil
3,Item 1,frozen fruits
6,Item 1,processed cheese
6,Item 1,finished products
1,Item 1,whisky
1,Item 1,rubbing alcohol
1,Item 1,nut snack
17,Item 1,beef
7,Item 1,frozen vegetables
7,Item 1,fish
1,Item 1,condensed milk
8,Item 1,processed cheese
1,Item 1,cereals
1,Item 1,cocoa drinks
2,Item 1,chewing gum
2,Item 1,soft cheese
13,Item 1,meat
14,Item 1,pip fruit
1,Item 1,zwieback
2,Item 1,instant food products
2,Item 1,softener
5,Item 1,chocolate
17,Item 1,root vegetables
6,Item 1,sliced cheese
10,Item 1,liver loaf
2,Item 1,detergent
11,Item 1,turkey
10,Item 1,yogurt
1,Item 1,artif. sweetener
4,Item 1,mayonnaise
28,Item 1,sausage
6,Item 1,condensed milk
11,Item 1,pip fruit
4,Item 1,processed cheese
3,Item 1,turkey
5,Item 1,instant food products
4,Item 1,organic sausage
7,Item 1,ice cream
8,Item 1,condensed milk
2,Item 1,soups
3,Item 1,pet care
11,Item 1,herbs
5,Item 1,frozen dessert
5,Item 1,frozen fish
5,Item 1,tidbits
6,Item 1,semi-finished bread
2,Item 1,flour
5,Item 1,hard cheese
6,Item 1,cat food
2,Item 1,candy
4,Item 1,semi-finished bread
4,Item 1,butter milk
10,Item 1,whipped/sour cream
9,Item 1,onions
3,Item 1,salty snack
4,Item 1,salty snack
2,Item 1,potted plants
1,Item 1,salt
1,Item 1,cleaner
2,Item 1,soap
4,Item 1,cereals
2,Item 1,cooking chocolate
2,Item 1,zwieback
4,Item 1,frozen fish
2,Item 1,canned vegetables
3,Item 1,white wine
3,Item 1,chocolate
16,Item 1,turkey
15,Item 1,meat
5,Item 1,packaged fruit/vegetables
15,Item 1,root vegetables
23,Item 1,ham
18,Item 1,pork
5,Item 1,zwieback
14,Item 1,onions
7,Item 1,grapes
7,Item 1,sliced cheese
1,Item 1,abrasive cleaner
1,Item 1,liver loaf
3,Item 1,canned vegetables
9,Item 1,frozen meals
4,Item 1,nuts/prunes
1,Item 1,softener
5,Item 1,fish
4,Item 1,herbs
3,Item 1,long life bakery product
8,Item 1,frozen meals
10,Item 1,onions
1,Item 1,roll products
12,Item 1,grapes
4,Item 1,sliced cheese
1,Item 1,sweet spreads
3,Item 1,organic products
8,Item 1,whipped/sour cream
11,Item 1,liver loaf
9,Item 1,nuts/prunes
1,Item 1,mayonnaise
2,Item 1,turkey
2,Item 1,cake bar
5,Item 1,frozen potato products
3,Item 1,dog food
2,Item 1,honey
8,Item 1,brandy
8,Item 1,yogurt
7,Item 1,domestic eggs
6,Item 1,bottled beer
7,Item 1,liquor
2,Item 1,male cosmetics
5,Item 1,soft cheese
1,Item 1,canned fruit
2,Item 1,artif. sweetener
7,Item 1,bottled beer
8,Item 1,ice cream
21,Item 1,citrus fruit
3,Item 1,canned fish
6,Item 1,dog food
5,Item 1,organic sausage
5,Item 1,white bread
2,Item 1,processed cheese
3,Item 1,jam
5,Item 1,pasta
4,Item 1,frozen meals
4,Item 1,frozen vegetables
1,Item 1,prosecco
4,Item 1,frozen dessert
9,Item 1,berries
1,Item 1,spread cheese
24,Item 1,pork
13,Item 1,turkey
1,Item 1,kitchen utensil
6,Item 1,mayonnaise
20,Item 1,sausage
19,Item 1,hamburger meat
19,Item 1,chicken
6,Item 1,misc. beverages
18,Item 1,pip fruit
21,Item 1,hamburger meat
29,Item 1,sausage
8,Item 1,domestic eggs
4,Item 1,sauces
3,Item 1,liquor
6,Item 1,sugar
22,Item 1,sausage
2,Item 1,liver loaf
14,Item 1,dessert
8,Item 1,white bread
5,Item 1,nuts/prunes
1,Item 1,flower (seeds)
1,Item 1,frozen fruits
23,Item 1,sausage
6,Item 1,spread cheese
2,Item 1,jam
10,Item 1,domestic eggs
2,Item 1,cream
2,Item 1,chocolate marshmallow
4,Item 2,semi-finished bread
3,Item 2,yogurt
4,Item 2,yogurt
4,Item 2,whole milk
5,Item 2,butter
5,Item 2,uht-milk
2,Item 2,cereals
5,Item 2,other vegetables
9,Item 2,tropical fruit
3,Item 2,rolls/buns
2,Item 2,tropical fruit
4,Item 2,sugar
2,Item 2,pastry
5,Item 2,cream cheese
11,Item 2,root vegetables
2,Item 2,canned beer
4,Item 2,rolls/buns
6,Item 2,soda
4,Item 2,beverages
7,Item 2,other vegetables
8,Item 2,berries
3,Item 2,grapes
2,Item 2,soda
4,Item 2,other vegetables
3,Item 2,zwieback
6,Item 2,rolls/buns
13,Item 2,root vegetables
2,Item 2,yogurt
8,Item 2,yogurt
2,Item 2,bottled water
10,Item 2,other vegetables
4,Item 2,grapes
10,Item 2,tropical fruit
5,Item 2,yogurt
4,Item 2,curd
3,Item 2,brown bread
7,Item 2,oil
6,Item 2,beef
3,Item 2,pastry
7,Item 2,whole milk
3,Item 2,beef
5,Item 2,tropical fruit
2,Item 2,coffee
2,Item 2,newspapers
3,Item 2,whole milk
8,Item 2,pip fruit
7,Item 2,butter
8,Item 2,citrus fruit
3,Item 2,meat spreads
5,Item 2,whole milk
5,Item 2,salt
4,Item 2,bottled water
10,Item 2,whole milk
4,Item 2,onions
7,Item 2,condensed milk
7,Item 2,root vegetables
3,Item 2,other vegetables
3,Item 2,salty snack
4,Item 2,butter milk
9,Item 2,hamburger meat
2,Item 2,photo/film
9,Item 2,sliced cheese
10,Item 2,hamburger meat
2,Item 2,misc. beverages
9,Item 2,pork
2,Item 2,fruit/vegetable juice
6,Item 2,citrus fruit
7,Item 2,whipped/sour cream
2,Item 2,pip fruit
10,Item 2,sausage
8,Item 2,dessert
2,Item 2,whipped/sour cream
4,Item 2,berries
6,Item 2,whole milk
3,Item 2,cream cheese
8,Item 2,other vegetables
4,Item 2,sausage
4,Item 2,dessert
2,Item 2,red/blush wine
15,Item 2,sausage
3,Item 2,butter milk
2,Item 2,dessert
3,Item 2,flour
2,Item 2,instant food products
5,Item 2,sausage
3,Item 2,misc. beverages
2,Item 2,frozen vegetables
2,Item 2,rolls/buns
10,Item 2,ham
2,Item 2,popcorn
7,Item 2,pork
6,Item 2,other vegetables
9,Item 2,other vegetables
2,Item 2,shopping bags
5,Item 2,rolls/buns
5,Item 2,herbs
4,Item 2,butter
3,Item 2,soda
3,Item 2,specialty cheese
3,Item 2,root vegetables
3,Item 2,white wine
8,Item 2,tropical fruit
5,Item 2,butter milk
4,Item 2,cream cheese
2,Item 2,salt
2,Item 2,ice cream
3,Item 2,soft cheese
5,Item 2,bottled water
4,Item 2,bottled beer
2,Item 2,candy
23,Item 2,ham
7,Item 2,cream cheese
6,Item 2,tropical fruit
7,Item 2,berries
5,Item 2,beef
5,Item 2,citrus fruit
3,Item 2,bottled beer
3,Item 2,bottled water
2,Item 2,chewing gum
5,Item 2,root vegetables
6,Item 2,yogurt
6,Item 2,pork
2,Item 2,specialty bar
2,Item 2,female sanitary products
4,Item 2,soda
12,Item 2,beef
6,Item 2,sliced cheese
8,Item 2,meat
6,Item 2,berries
12,Item 2,citrus fruit
3,Item 2,mustard
8,Item 2,beef
9,Item 2,sausage
5,Item 2,beverages
6,Item 2,herbs
4,Item 2,whipped/sour cream
16,Item 2,whole milk
7,Item 2,curd
8,Item 2,whole milk
4,Item 2,oil
11,Item 2,beef
2,Item 2,beverages
9,Item 2,pip fruit
11,Item 2,citrus fruit
7,Item 2,sausage
12,Item 2,pip fruit
3,Item 2,margarine
8,Item 2,root vegetables
11,Item 2,pip fruit
11,Item 2,other vegetables
7,Item 2,citrus fruit
4,Item 2,pip fruit
5,Item 2,frozen meals
3,Item 2,sugar
9,Item 2,root vegetables
4,Item 2,packaged fruit/vegetables
4,Item 2,citrus fruit
13,Item 2,beef
5,Item 2,soda
5,Item 2,packaged fruit/vegetables
2,Item 2,white wine
5,Item 2,white bread
9,Item 2,chicken
3,Item 2,hard cheese
2,Item 2,cake bar
2,Item 2,root vegetables
3,Item 2,canned fish
2,Item 2,whole milk
2,Item 2,hygiene articles
3,Item 2,white bread
5,Item 2,mayonnaise
2,Item 2,specialty chocolate
4,Item 2,meat
8,Item 2,beverages
3,Item 2,butter
3,Item 2,hamburger meat
5,Item 2,whipped/sour cream
3,Item 2,canned beer
5,Item 2,domestic eggs
2,Item 2,bottled beer
8,Item 2,sausage
10,Item 2,root vegetables
5,Item 2,brown bread
7,Item 2,packaged fruit/vegetables
2,Item 2,white bread
4,Item 2,frozen dessert
2,Item 2,liquor
11,Item 2,butter
7,Item 2,hard cheese
7,Item 2,liver loaf
4,Item 2,tropical fruit
2,Item 2,chocolate
4,Item 2,bathroom cleaner
10,Item 2,butter milk
2,Item 2,other vegetables
7,Item 2,ham
6,Item 2,frozen vegetables
5,Item 2,berries
2,Item 2,pet care
4,Item 2,pastry
4,Item 2,pet care
4,Item 2,uht-milk
7,Item 2,zwieback
7,Item 2,tropical fruit
9,Item 2,beef
6,Item 2,canned beer
5,Item 2,ham
4,Item 2,ice cream
3,Item 2,honey
2,Item 2,salty snack
8,Item 2,onions
3,Item 2,citrus fruit
14,Item 2,pip fruit
11,Item 2,turkey
2,Item 2,nut snack
2,Item 2,detergent
3,Item 2,dessert
6,Item 2,pip fruit
10,Item 2,cream cheese
2,Item 2,curd
2,Item 2,brown bread
4,Item 2,detergent
17,Item 2,beef
2,Item 2,seasonal products
2,Item 2,margarine
7,Item 2,yogurt
4,Item 2,spread cheese
3,Item 2,chewing gum
11,Item 2,tropical fruit
3,Item 2,fruit/vegetable juice
2,Item 2,domestic eggs
8,Item 2,curd
2,Item 2,long life bakery product
5,Item 2,coffee
6,Item 2,bottled beer
3,Item 2,uht-milk
5,Item 2,frozen vegetables
2,Item 2,potted plants
13,Item 2,tropical fruit
3,Item 2,dish cleaner
5,Item 2,processed cheese
6,Item 2,hamburger meat
10,Item 2,meat
9,Item 2,citrus fruit
8,Item 2,pork
7,Item 2,hamburger meat
2,Item 2,spices
11,Item 2,whole milk
10,Item 2,citrus fruit
12,Item 2,tropical fruit
9,Item 2,rolls/buns
6,Item 2,sausage
4,Item 2,domestic eggs
6,Item 2,root vegetables
6,Item 2,onions
11,Item 2,hamburger meat
9,Item 2,meat
7,Item 2,sliced cheese
11,Item 2,ham
3,Item 2,frozen meals
2,Item 2,canned fish
5,Item 2,curd
7,Item 2,brown bread
7,Item 2,soda
5,Item 2,pip fruit
4,Item 2,hygiene articles
7,Item 2,onions
5,Item 2,onions
8,Item 2,turkey
5,Item 2,frozen dessert
7,Item 2,beef
10,Item 2,grapes
3,Item 2,tropical fruit
3,Item 2,beverages
14,Item 2,chicken
2,Item 2,brandy
2,Item 2,oil
4,Item 2,root vegetables
6,Item 2,turkey
3,Item 2,liquor (appetizer)
17,Item 2,chicken
6,Item 2,uht-milk
3,Item 2,red/blush wine
5,Item 2,grapes
2,Item 2,semi-finished bread
11,Item 2,pork
13,Item 2,onions
5,Item 2,pork
5,Item 2,pastry
9,Item 2,fish
8,Item 2,herbs
5,Item 2,dessert
9,Item 2,grapes
3,Item 2,spread cheese
10,Item 2,onions
12,Item 2,other vegetables
10,Item 2,berries
11,Item 2,berries
12,Item 2,pork
15,Item 2,pork
14,Item 2,tropical fruit
2,Item 2,pickled vegetables
